word1	attr1	word2	attr2	Comment	period	genre	combined		word1 freq	word2 freq	bigram freq	score trimmed	distance	url
amāru	[see]	nabalkattu	[crossing]		OB (18), Sel (1)	mathematical (18), astrological (1)	OB mathematical (18), Sel astrological (1)		2769	34	19	−8,027	3,368	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22nabalkattu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	naqû	[pour (a libation)]		NA (45), NB (2), MA (2), Sel (1)	royal inscription (47), incantation-ritual (3)	NA royal inscription (43), NB royal inscription (2), NA incantation-ritual (2), MA royal inscription (2), Sel incantation-ritual (1)		2769	258	50	−8,159	4	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22naq%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	alāku	[go]		NA (144), Ach (15), Sel (10), SB (8), 1stM (4), NB (2), OB (1), No info (1), Hell (1)	administrative letter (69), astrological report (34), omen (16), scholarly letter (13), mathematical (12), astronomical (9), literary (6), astrological (5), school (4), scholarly (4), royal inscription (4), priestly letter (3), incantation-ritual (3), no info (2), letter (1), historical (1)	NA administrative letter (69), NA astrological report (34), NA scholarly letter (13), Ach mathematical (10), NA omen (8), SB astronomical (7), NA literary (6), Sel astrological (5), NA school (4), Ach omen (4), 1stM scholarly (4), Sel omen (3), NA priestly letter (3), NB royal inscription (2), NA royal inscription (2), NA astronomical (2), Sel mathematical (1), Sel incantation-ritual (1), SB omen (1), OB mathematical (1), No info no info (1), NA no info (1), NA incantation-ritual (1), NA historical (1), Hell letter (1), Ach incantation-ritual (1)		2769	3601	186	−8,171	3,247	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22al%C4%81ku%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	ṭuhdu	[plenty]		NA (21)	astrological report (20), scholarly letter (1)	NA astrological report (20), NA scholarly letter (1)		2769	46	21	−8,174	1	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22%E1%B9%ADuhdu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	kakkabu	[star]		SB (30), NA (23), Sel (10), No info (2), NB (2), Ach (1)	astronomical (32), omen (19), literary (4), astrological report (4), scholarly letter (3), no info (2), incantation-ritual (2), astrological (1), administrative letter (1)	SB astronomical (26), Sel omen (9), NA astronomical (6), NA omen (5), SB omen (4), NA astrological report (4), NA scholarly letter (3), No info literary (2), NB literary (2), NA no info (2), NA incantation-ritual (2), Sel astrological (1), NA administrative letter (1), Ach omen (1)		2769	490	68	−8,197	3,485	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22kakkabu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	šiddu	[length]		OB (106), Sel (4), Ach (2), Hell (1)	mathematical (112), legal (1)	OB mathematical (106), Sel mathematical (4), Ach mathematical (2), Hell legal (1)		2769	1365	113	−8,209	3,761	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22%C5%A1iddu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	azaru	[lynx]		NA (8)	royal inscription (6), omen (2)	NA royal inscription (6), NA omen (2)		2769	7	8	−8,243	3,625	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22azaru%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	mēleṣu	[excitement]		NA (6)	astrological report (5), scholarly letter (1)	NA astrological report (5), NA scholarly letter (1)		2769	4	6	−8,265	1,333	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22m%C4%93le%E1%B9%A3u%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	bašû	[exist]		NA (80), Sel (20), SB (12), Ach (6), No info (2), NB (2), OB (1)	astrological report (43), omen (33), scholarly letter (11), administrative letter (11), astrological (8), astronomical (4), royal inscription (3), priestly letter (3), no info (2), literary (2), incantation-ritual (2), mathematical (1)	NA astrological report (43), NA scholarly letter (11), NA administrative letter (11), Sel omen (10), SB omen (10), Sel astrological (8), NA omen (7), Ach omen (6), NA priestly letter (3), Sel incantation-ritual (2), SB astronomical (2), No info literary (2), NB royal inscription (2), NA no info (2), NA astronomical (2), OB mathematical (1), NA royal inscription (1)		2769	1687	123	−8,27	3,634	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22ba%C5%A1%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	nīqu	[offering]		NA (43), NB (3), MA (2), Sel (1)	royal inscription (47), scientific (1), incantation-ritual (1)	NA royal inscription (43), NB royal inscription (2), MA royal inscription (2), Sel incantation-ritual (1), NB scientific (1)		2769	270	49	−8,283	3,102	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22n%C4%ABqu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	akālu	[eat]	result: will devour	NA (65), Sel (9), OB (2), SB (1)	astrological report (37), omen (13), literary (8), administrative letter (6), hemerological (4), scholarly letter (3), no info (2), mathematical (2), school (1), incantation-ritual (1)	NA astrological report (37), Sel omen (9), NA literary (8), NA administrative letter (6), NA hemerological (4), NA scholarly letter (3), NA omen (3), OB mathematical (2), NA no info (2), SB omen (1), NA school (1), NA incantation-ritual (1)		2769	671	77	−8,292	3,727	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22ak%C4%81lu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	Dilbat	[Dilbat]		NA (34), No info (2)	astrological report (22), scholarly letter (11), literary (2), omen (1)	NA astrological report (22), NA scholarly letter (11), No info literary (2), NA omen (1)		2769	147	36	−8,295	3,056	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22Dilbat%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
barû	[seen]	šaṭru	[written]		NA (46), Sel (16), Ach (11), No info (5), NB (4), Uncertain (1), MA (1)	ritual (16), omen (13), incantation-ritual (13), literary (12), royal inscription (11), scholarly (3), no info (3), mathematical (2), historical (2), astrological (2), uncertain (1), school (1), prayer/incantation (1), medical (1), hymn-prayer (1), hemerological (1), astronomical (1)	NA ritual (16), Sel omen (7), NA royal inscription (7), NA literary (7), Sel incantation-ritual (5), No info literary (5), NA incantation-ritual (5), Ach omen (4), NB royal inscription (3), Ach incantation-ritual (3), Sel astrological (2), NA scholarly (2), NA omen (2), NA no info (2), Uncertain historical (1), Sel mathematical (1), Sel historical (1), NB prayer/incantation (1), NA uncertain (1), NA school (1), NA hymn-prayer (1), NA hemerological (1), NA astronomical (1), MA no info (1), Ach scholarly (1), Ach royal inscription (1), Ach medical (1), Ach mathematical (1)		177	324	84	−3,023	1,095	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22bar%C3%BB%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22%C5%A1a%E1%B9%ADru%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
barû	[seen]	labīru	[original]		NA (32), Sel (13), NB (7), No info (5), Ach (5), Uncertain (1)	ritual (12), incantation-ritual (11), literary (10), omen (9), royal inscription (7), scholarly (2), no info (2), historical (2), astrological (2), school (1), prayer/incantation (1), medical (1), hymn-prayer (1), hemerological (1), astronomical (1)	NA ritual (12), NB royal inscription (6), Sel omen (5), Sel incantation-ritual (5), No info literary (5), NA literary (5), NA incantation-ritual (5), Ach omen (3), Sel astrological (2), NA scholarly (2), NA no info (2), Uncertain historical (1), Sel historical (1), NB prayer/incantation (1), NA school (1), NA royal inscription (1), NA omen (1), NA hymn-prayer (1), NA hemerological (1), NA astronomical (1), Ach medical (1), Ach incantation-ritual (1)		177	205	63	−3,193	2,19	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22bar%C3%BB%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22lab%C4%ABru%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
barû	[seen]	šamallû	[purse-bearer]		NA (13), NB (1)	incantation-ritual (4), scholarly (3), literary (3), royal inscription (2), hymn-prayer (1), astronomical (1)	NA incantation-ritual (4), NA scholarly (3), NA literary (3), NB royal inscription (1), NA royal inscription (1), NA hymn-prayer (1), NA astronomical (1)		177	33	14	−4,897	3,5	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22bar%C3%BB%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22%C5%A1amall%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
barû	[seen]	gabarû	[copy]		Sel (9), Ach (7), NA (5), No info (3), NB (1), MA (1)	incantation-ritual (7), omen (5), literary (4), royal inscription (3), no info (2), mathematical (2), scholarly (1), historical (1), astrological (1)	Sel incantation-ritual (4), No info literary (3), Ach incantation-ritual (3), Sel omen (2), NA royal inscription (2), Ach omen (2), Sel mathematical (1), Sel historical (1), Sel astrological (1), NB royal inscription (1), NA omen (1), NA no info (1), NA literary (1), MA no info (1), Ach scholarly (1), Ach mathematical (1)		177	122	26	−4,997	3,385	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22bar%C3%BB%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22gabar%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
